relation_id,source_id,relation,target_id,evidence_source_id,evidence_chunk_ids,confidence,review_status,notes
R001,ALG_LINREG,BELONGS_TO,FAM_LINEAR,S1,SKL-S1-1_1_LINEAR_MODELS-001|SKL-S1-1_1_12_GENERALIZED_LINEAR_MODELS-027,0.90,approved,evidence bound from source chunk selection
R002,ALG_RIDGE,BELONGS_TO,FAM_LINEAR,S1,SKL-S1-1_1_10_1_BAYESIAN_RIDGE_REGRESSION-019|SKL-S1-1_1_12_GENERALIZED_LINEAR_MODELS-027,0.90,approved,evidence bound from source chunk selection
R003,ALG_LASSO,BELONGS_TO,FAM_LINEAR,S1,SKL-S1-1_1_LINEAR_MODELS-001|SKL-S1-1_1_3_LASSO-008,0.90,approved,evidence bound from source chunk selection
R004,ALG_LOGREG,BELONGS_TO,FAM_LINEAR,S1,SKL-S1-1_1_11_LOGISTIC_REGRESSION-021|SKL-S1-1_1_LINEAR_MODELS-001,0.90,approved,evidence bound from source chunk selection
R005,ALG_LINEARSVC,BELONGS_TO,FAM_KERNEL,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_1_CLASSIFICATION-002,0.80,approved,evidence bound from source chunk selection
R006,ALG_SVC,BELONGS_TO,FAM_KERNEL,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_1_CLASSIFICATION-002,0.90,approved,evidence bound from source chunk selection
R007,ALG_SVR,BELONGS_TO,FAM_KERNEL,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_2_REGRESSION-006,0.90,approved,evidence bound from source chunk selection
R008,ALG_TREE,BELONGS_TO,FAM_TREE,S3,SKL-S3-1_10_DECISION_TREES-001|SKL-S3-1_10_DECISION_TREES-002,0.90,approved,evidence bound from source chunk selection
R009,ALG_RF,BELONGS_TO,FAM_ENSEMBLE,S4,SKL-S4-1_11_ENSEMBLES_GRADIENT_BOOSTING_RANDOM_FORESTS_-001|SKL-S4-1_11_2_1_RANDOM_FORESTS-015,0.95,approved,evidence bound from source chunk selection
R010,ALG_BAGGING,BELONGS_TO,FAM_ENSEMBLE,S4,SKL-S4-1_11_ENSEMBLES_GRADIENT_BOOSTING_RANDOM_FORESTS_-001|SKL-S4-1_11_3_BAGGING_META_ESTIMATOR-023,0.95,approved,evidence bound from source chunk selection
