review_item_id,question_id,category,expected_behavior,answer_label,method_id,answer_correctness,evidence_faithfulness,hallucination,over_refusal,readability,review_notes,reviewer,review_status
X-SH-01-A,X-SH-01,single_hop,answer,A,llm_partial_pass_v2,2,2,0,0,5,direct and fully supported,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-01-B,X-SH-01,single_hop,answer,B,rule_baseline,2,2,0,0,4,correct answer with unnecessary source block,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-01-C,X-SH-01,single_hop,answer,C,llm_no_verifier_v2,2,2,0,0,5,direct and fully supported,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-01-D,X-SH-01,single_hop,answer,D,llm_strict_v2,2,2,0,0,5,direct and fully supported,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-02-A,X-SH-02,single_hop,answer,A,llm_partial_pass_v2,2,2,0,0,4,answers continuous target with unnecessary caveat,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-02-B,X-SH-02,single_hop,answer,B,rule_baseline,2,2,0,0,4,complete but verbose answer,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-02-C,X-SH-02,single_hop,answer,C,llm_no_verifier_v2,2,2,0,0,5,concise and complete,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-02-D,X-SH-02,single_hop,answer,D,llm_strict_v2,2,2,0,0,5,concise and complete,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-03-A,X-SH-03,single_hop,answer,A,llm_no_verifier_v2,2,2,0,0,5,directly answers feature scaling,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-03-B,X-SH-03,single_hop,answer,B,llm_partial_pass_v2,0,,,1,,over-refusal on answerable question,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-03-C,X-SH-03,single_hop,answer,C,rule_baseline,2,2,0,0,5,directly answers feature scaling,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-03-D,X-SH-03,single_hop,answer,D,llm_strict_v2,0,,,1,,over-refusal on answerable question,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-04-A,X-SH-04,single_hop,answer,A,llm_strict_v2,0,,,1,,over-refusal on answerable question,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-04-B,X-SH-04,single_hop,answer,B,rule_baseline,0,2,0,0,,supported but irrelevant definition,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-04-C,X-SH-04,single_hop,answer,C,llm_no_verifier_v2,2,2,0,0,4,fully answers feature subsampling with extra details,User-confirmed review of Codex-assisted scoring,user_confirmed
X-SH-04-D,X-SH-04,single_hop,answer,D,llm_partial_pass_v2,1,2,0,0,3,describes bootstrap but misses feature sampling,User-confirmed review of Codex-assisted scoring,user_confirmed
X-MH-01-A,X-MH-01,multi_hop,answer,A,llm_no_verifier_v2,2,2,0,0,4,complete relation chain with extra metric details,User-confirmed review of Codex-assisted scoring,user_confirmed
