question_id,method,question,category,expected_decision,actual_decision,correctness_score,faithfulness_score,hallucination,over_refusal,notes,reviewer
F-SH-01,vector_rag,随机森林属于什么模型族？,single_hop,pass,pass,,,,,,
F-SH-02,vector_rag,支持向量分类属于什么模型族？,single_hop,pass,pass,,,,,,
F-SH-03,vector_rag,KMeans 解决什么任务？,single_hop,pass,pass,,,,,,
F-SH-04,vector_rag,岭回归使用什么技术？,single_hop,pass,pass,,,,,,
F-SH-05,vector_rag,支持向量分类需要什么预处理技术？,single_hop,pass,pass,,,,,,
F-SH-06,vector_rag,决策树可用于哪些监督学习任务？,single_hop,pass,pass,,,,,,
F-SH-07,vector_rag,逻辑回归可以用什么指标评估？,single_hop,pass,pass,,,,,,
F-SH-08,vector_rag,随机森林是否使用 Bootstrap 抽样？,single_hop,pass,pass,,,,,,
F-MH-01,vector_rag,随机森林通过决策树属于哪个模型族？,multi_hop,pass,pass,,,,,,
F-MH-02,vector_rag,岭回归使用的正则化属于什么概念？,multi_hop,pass,pass,,,,,,
F-MH-03,vector_rag,支持向量分类需要的特征缩放与什么问题有关？,multi_hop,pass,pass,,,,,,
F-MH-04,vector_rag,随机森林使用的 Bootstrap 抽样有什么优势？,multi_hop,pass,pass,,,,,,
F-MH-05,vector_rag,剪枝可以缓解什么风险？,multi_hop,pass,pass,,,,,,
F-MH-06,vector_rag,KMeans 使用特征缩放与聚类任务有什么关系？,multi_hop,pass,pass,,,,,,
F-MH-07,vector_rag,逻辑回归与正则化、ROC AUC 之间有哪些关系？,multi_hop,pass,pass,,,,,,
F-MH-08,vector_rag,决策树的可解释性与过拟合风险如何关联？,multi_hop,pass,pass,,,,,,
F-MH-09,vector_rag,DBSCAN 与聚类方法和聚类任务的关系是什么？,multi_hop,pass,pass,,,,,,
F-DF-01,vector_rag,什么是线性回归？,definition,pass,pass,,,,,,
F-DF-02,vector_rag,什么是 Ridge 回归？,definition,pass,pass,,,,,,
F-DF-03,vector_rag,什么是 Lasso 回归？,definition,pass,pass,,,,,,
F-DF-04,vector_rag,什么是逻辑回归？,definition,pass,pass,,,,,,
F-DF-05,vector_rag,什么是支持向量机分类？,definition,pass,pass,,,,,,
F-DF-06,vector_rag,什么是决策树？,definition,pass,pass,,,,,,
F-DF-07,vector_rag,什么是 KMeans？,definition,pass,pass,,,,,,
F-CM-01,vector_rag,Bagging 和 AdaBoost 有什么区别？,comparison,pass,pass,,,,,,
F-CM-02,vector_rag,精确率和召回率有什么区别？,comparison,pass,pass,,,,,,
F-CM-03,vector_rag,均方误差和 R2 分数有什么区别？,comparison,pass,pass,,,,,,
F-CM-04,vector_rag,Ridge 回归和 Lasso 回归有什么区别？,comparison,pass,pass,,,,,,
F-CM-05,vector_rag,KMeans 和 DBSCAN 有什么区别？,comparison,pass,pass,,,,,,
F-PC-01,vector_rag,随机森林为什么更稳定？,principle_pros_cons,pass,pass,,,,,,
F-PC-02,vector_rag,决策树有什么局限？,principle_pros_cons,pass,pass,,,,,,
F-PC-03,vector_rag,支持向量分类为什么通常需要特征缩放？,principle_pros_cons,pass,pass,,,,,,
F-PC-04,vector_rag,DBSCAN 在噪声数据上有什么优势？,principle_pros_cons,pass,pass,,,,,,
F-PC-05,vector_rag,梯度提升有什么局限？,principle_pros_cons,pass,pass,,,,,,
F-MS-01,vector_rag,类别不平衡时应该优先关注哪些指标？,metric_selection,pass,pass,,,,,,
F-MS-02,vector_rag,回归任务通常可以用哪些指标评估？,metric_selection,pass,pass,,,,,,
F-NA-01,vector_rag,如何烤蛋糕？,no_answer,refuse,pass,,,,,,
F-NA-02,vector_rag,XGBoost 如何处理缺失值？,no_answer,refuse,pass,,,,,,
F-NA-03,vector_rag,随机森林的学习率是多少？,no_answer,refuse,pass,,,,,,
F-NA-04,vector_rag,KMeans 是监督分类算法吗？,no_answer,refuse,pass,,,,,,
F-SH-01,graph_only,随机森林属于什么模型族？,single_hop,pass,pass,,,,,,
F-SH-02,graph_only,支持向量分类属于什么模型族？,single_hop,pass,pass,,,,,,
F-SH-03,graph_only,KMeans 解决什么任务？,single_hop,pass,pass,,,,,,
F-SH-04,graph_only,岭回归使用什么技术？,single_hop,pass,pass,,,,,,
F-SH-05,graph_only,支持向量分类需要什么预处理技术？,single_hop,pass,pass,,,,,,
F-SH-06,graph_only,决策树可用于哪些监督学习任务？,single_hop,pass,pass,,,,,,
F-SH-07,graph_only,逻辑回归可以用什么指标评估？,single_hop,pass,pass,,,,,,
F-SH-08,graph_only,随机森林是否使用 Bootstrap 抽样？,single_hop,pass,pass,,,,,,
F-MH-01,graph_only,随机森林通过决策树属于哪个模型族？,multi_hop,pass,pass,,,,,,
F-MH-02,graph_only,岭回归使用的正则化属于什么概念？,multi_hop,pass,pass,,,,,,
F-MH-03,graph_only,支持向量分类需要的特征缩放与什么问题有关？,multi_hop,pass,pass,,,,,,
F-MH-04,graph_only,随机森林使用的 Bootstrap 抽样有什么优势？,multi_hop,pass,pass,,,,,,
F-MH-05,graph_only,剪枝可以缓解什么风险？,multi_hop,pass,pass,,,,,,
F-MH-06,graph_only,KMeans 使用特征缩放与聚类任务有什么关系？,multi_hop,pass,pass,,,,,,
F-MH-07,graph_only,逻辑回归与正则化、ROC AUC 之间有哪些关系？,multi_hop,pass,pass,,,,,,
F-MH-08,graph_only,决策树的可解释性与过拟合风险如何关联？,multi_hop,pass,pass,,,,,,
F-MH-09,graph_only,DBSCAN 与聚类方法和聚类任务的关系是什么？,multi_hop,pass,pass,,,,,,
F-DF-01,graph_only,什么是线性回归？,definition,pass,pass,,,,,,
F-DF-02,graph_only,什么是 Ridge 回归？,definition,pass,pass,,,,,,
F-DF-03,graph_only,什么是 Lasso 回归？,definition,pass,pass,,,,,,
F-DF-04,graph_only,什么是逻辑回归？,definition,pass,pass,,,,,,
F-DF-05,graph_only,什么是支持向量机分类？,definition,pass,pass,,,,,,
F-DF-06,graph_only,什么是决策树？,definition,pass,pass,,,,,,
F-DF-07,graph_only,什么是 KMeans？,definition,pass,pass,,,,,,
F-CM-01,graph_only,Bagging 和 AdaBoost 有什么区别？,comparison,pass,pass,,,,,,
F-CM-02,graph_only,精确率和召回率有什么区别？,comparison,pass,pass,,,,,,
F-CM-03,graph_only,均方误差和 R2 分数有什么区别？,comparison,pass,pass,,,,,,
F-CM-04,graph_only,Ridge 回归和 Lasso 回归有什么区别？,comparison,pass,pass,,,,,,
F-CM-05,graph_only,KMeans 和 DBSCAN 有什么区别？,comparison,pass,pass,,,,,,
F-PC-01,graph_only,随机森林为什么更稳定？,principle_pros_cons,pass,pass,,,,,,
F-PC-02,graph_only,决策树有什么局限？,principle_pros_cons,pass,pass,,,,,,
F-PC-03,graph_only,支持向量分类为什么通常需要特征缩放？,principle_pros_cons,pass,pass,,,,,,
F-PC-04,graph_only,DBSCAN 在噪声数据上有什么优势？,principle_pros_cons,pass,pass,,,,,,
F-PC-05,graph_only,梯度提升有什么局限？,principle_pros_cons,pass,pass,,,,,,
F-MS-01,graph_only,类别不平衡时应该优先关注哪些指标？,metric_selection,pass,pass,,,,,,
F-MS-02,graph_only,回归任务通常可以用哪些指标评估？,metric_selection,pass,pass,,,,,,
F-NA-01,graph_only,如何烤蛋糕？,no_answer,refuse,pass,,,,,,
F-NA-02,graph_only,XGBoost 如何处理缺失值？,no_answer,refuse,pass,,,,,,
F-NA-03,graph_only,随机森林的学习率是多少？,no_answer,refuse,pass,,,,,,
F-NA-04,graph_only,KMeans 是监督分类算法吗？,no_answer,refuse,pass,,,,,,
F-SH-01,proposed,随机森林属于什么模型族？,single_hop,pass,pass,,,,,,
F-SH-02,proposed,支持向量分类属于什么模型族？,single_hop,pass,pass,,,,,,
F-SH-03,proposed,KMeans 解决什么任务？,single_hop,pass,pass,,,,,,
F-SH-04,proposed,岭回归使用什么技术？,single_hop,pass,pass,,,,,,
F-SH-05,proposed,支持向量分类需要什么预处理技术？,single_hop,pass,pass,,,,,,
F-SH-06,proposed,决策树可用于哪些监督学习任务？,single_hop,pass,pass,,,,,,
F-SH-07,proposed,逻辑回归可以用什么指标评估？,single_hop,pass,pass,,,,,,
F-SH-08,proposed,随机森林是否使用 Bootstrap 抽样？,single_hop,pass,pass,,,,,,
F-MH-01,proposed,随机森林通过决策树属于哪个模型族？,multi_hop,pass,pass,,,,,,
F-MH-02,proposed,岭回归使用的正则化属于什么概念？,multi_hop,pass,pass,,,,,,
F-MH-03,proposed,支持向量分类需要的特征缩放与什么问题有关？,multi_hop,pass,pass,,,,,,
F-MH-04,proposed,随机森林使用的 Bootstrap 抽样有什么优势？,multi_hop,pass,pass,,,,,,
F-MH-05,proposed,剪枝可以缓解什么风险？,multi_hop,pass,pass,,,,,,
F-MH-06,proposed,KMeans 使用特征缩放与聚类任务有什么关系？,multi_hop,pass,pass,,,,,,
F-MH-07,proposed,逻辑回归与正则化、ROC AUC 之间有哪些关系？,multi_hop,pass,pass,,,,,,
F-MH-08,proposed,决策树的可解释性与过拟合风险如何关联？,multi_hop,pass,pass,,,,,,
F-MH-09,proposed,DBSCAN 与聚类方法和聚类任务的关系是什么？,multi_hop,pass,pass,,,,,,
F-DF-01,proposed,什么是线性回归？,definition,pass,pass,,,,,,
F-DF-02,proposed,什么是 Ridge 回归？,definition,pass,pass,,,,,,
F-DF-03,proposed,什么是 Lasso 回归？,definition,pass,pass,,,,,,
F-DF-04,proposed,什么是逻辑回归？,definition,pass,pass,,,,,,
F-DF-05,proposed,什么是支持向量机分类？,definition,pass,pass,,,,,,
F-DF-06,proposed,什么是决策树？,definition,pass,pass,,,,,,
F-DF-07,proposed,什么是 KMeans？,definition,pass,pass,,,,,,
F-CM-01,proposed,Bagging 和 AdaBoost 有什么区别？,comparison,pass,pass,,,,,,
F-CM-02,proposed,精确率和召回率有什么区别？,comparison,pass,pass,,,,,,
F-CM-03,proposed,均方误差和 R2 分数有什么区别？,comparison,pass,pass,,,,,,
F-CM-04,proposed,Ridge 回归和 Lasso 回归有什么区别？,comparison,pass,pass,,,,,,
F-CM-05,proposed,KMeans 和 DBSCAN 有什么区别？,comparison,pass,pass,,,,,,
F-PC-01,proposed,随机森林为什么更稳定？,principle_pros_cons,pass,pass,,,,,,
F-PC-02,proposed,决策树有什么局限？,principle_pros_cons,pass,pass,,,,,,
F-PC-03,proposed,支持向量分类为什么通常需要特征缩放？,principle_pros_cons,pass,pass,,,,,,
F-PC-04,proposed,DBSCAN 在噪声数据上有什么优势？,principle_pros_cons,pass,pass,,,,,,
F-PC-05,proposed,梯度提升有什么局限？,principle_pros_cons,pass,pass,,,,,,
F-MS-01,proposed,类别不平衡时应该优先关注哪些指标？,metric_selection,pass,pass,,,,,,
F-MS-02,proposed,回归任务通常可以用哪些指标评估？,metric_selection,pass,pass,,,,,,
F-NA-01,proposed,如何烤蛋糕？,no_answer,refuse,refuse,,,,,,
F-NA-02,proposed,XGBoost 如何处理缺失值？,no_answer,refuse,refuse,,,,,,
F-NA-03,proposed,随机森林的学习率是多少？,no_answer,refuse,refuse,,,,,,
F-NA-04,proposed,KMeans 是监督分类算法吗？,no_answer,refuse,refuse,,,,,,
