question_id,method,question,category,expected_decision,actual_decision,correctness_score,faithfulness_score,hallucination,over_refusal,notes,reviewer,review_status
F-SH-01,vector_rag,随机森林属于什么模型族？,single_hop,pass,pass,2,1,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-02,vector_rag,支持向量分类属于什么模型族？,single_hop,pass,pass,0,1,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-03,vector_rag,KMeans 解决什么任务？,single_hop,pass,pass,2,1,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-04,vector_rag,岭回归使用什么技术？,single_hop,pass,pass,0,1,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-05,vector_rag,支持向量分类需要什么预处理技术？,single_hop,pass,pass,0,1,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-06,vector_rag,决策树可用于哪些监督学习任务？,single_hop,pass,pass,0,1,0,0,keyword_coverage=0/2; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-07,vector_rag,逻辑回归可以用什么指标评估？,single_hop,pass,pass,0,1,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-08,vector_rag,随机森林是否使用 Bootstrap 抽样？,single_hop,pass,pass,2,1,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-01,vector_rag,随机森林通过决策树属于哪个模型族？,multi_hop,pass,pass,1,1,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-02,vector_rag,岭回归使用的正则化属于什么概念？,multi_hop,pass,pass,2,1,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-03,vector_rag,支持向量分类需要的特征缩放与什么问题有关？,multi_hop,pass,pass,0,1,0,0,keyword_coverage=0/2; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-04,vector_rag,随机森林使用的 Bootstrap 抽样有什么优势？,multi_hop,pass,pass,1,1,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-05,vector_rag,剪枝可以缓解什么风险？,multi_hop,pass,pass,2,1,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-06,vector_rag,KMeans 使用特征缩放与聚类任务有什么关系？,multi_hop,pass,pass,1,1,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-07,vector_rag,逻辑回归与正则化、ROC AUC 之间有哪些关系？,multi_hop,pass,pass,1,1,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-08,vector_rag,决策树的可解释性与过拟合风险如何关联？,multi_hop,pass,pass,1,1,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-09,vector_rag,DBSCAN 与聚类方法和聚类任务的关系是什么？,multi_hop,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-01,vector_rag,什么是线性回归？,definition,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-02,vector_rag,什么是 Ridge 回归？,definition,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-03,vector_rag,什么是 Lasso 回归？,definition,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-04,vector_rag,什么是逻辑回归？,definition,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-05,vector_rag,什么是支持向量机分类？,definition,pass,pass,1,1,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-06,vector_rag,什么是决策树？,definition,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-07,vector_rag,什么是 KMeans？,definition,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-01,vector_rag,Bagging 和 AdaBoost 有什么区别？,comparison,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
